song_name,artist,featured_artists,base_rating,energy_rating,lyrics_rating,vocal_rating,instrumental_rating,production_rating,replay_value,consensus_notes
Free Bird,Lynyrd Skynyrd,,93,8.5,8,8,10,8.5,9.5,"Rock classic with legendary extended guitar section and major cultural staying power; widely recognized as one of the genre's defining tracks."
The Final Countdown,Europe,,75,8.5,6,7,8,7.5,8.5,"Iconic and instantly recognizable arena-rock anthem, though often seen as cheesy or dated by critics."
Down Under,Men at Work,,82,7.5,7.5,7.5,8,8,8.5,"A beloved new wave/pop-rock classic with strong identity and replay value, despite some novelty-song associations."
All Star,Smash Mouth,,72,7.5,6,6.5,7,7.5,8.5,"Extremely recognizable and meme-amplified pop-rock hit; catchy and durable, though critically more lightweight than beloved classics."
Lovely Day,Bill Withers,,88,7,8,9,8.5,8.5,9,"Widely beloved soul classic praised for warmth, vocal performance, simplicity, and feel-good replay value."
Sweet Child o' Mine,Guns N' Roses,,93,9,8,8.5,10,9,9.5,"Rock staple with one of the most recognizable guitar riffs ever and strong cross-generational popularity."
Rip & Tear,Mick Gordon,,91,10,6.5,0,10,9.5,9,"Highly praised in game music circles for aggression, sound design, and adrenaline; limited lyrical dimension because it is instrumental."
Little Dark Age,MGMT,,86,8,8,8,8.5,8.5,9,"Critically respected synth-pop/goth revival track with major viral afterlife and strong atmosphere."
Resonance,HOME,,83,7,0,0,8.5,8.5,9,"Beloved internet/synthwave instrumental known for nostalgic atmosphere and replay value, though its critical footprint is more niche."
March of the Toreadors / Toreador Song,Georges Bizet,,90,8.5,7.5,8,9.5,8.5,9,"Canonical classical/opera theme from Carmen with huge recognizability and strong melodic identity."
Clair de lune,Claude Debussy,,96,5.5,0,0,10,9.5,9.5,"One of the most beloved piano works in classical music, praised for atmosphere, delicacy, and enduring beauty."
Duel of the Fates,John Williams,London Voices,94,9.5,8,8.5,10,9.5,9.5,"Widely acclaimed film score piece with massive dramatic impact, choral force, and cultural recognizability."
Love Is a Long Road,Tom Petty,,84,7.5,7.5,8,8.5,8,8.5,"Respected Tom Petty track with renewed attention through pop-culture use; strong driving rock feel and replay value."
4:44,JAY-Z,,90,6.5,10,8,8,8.5,8,"Highly acclaimed for vulnerability, maturity, and concise writing; not a high-energy track but strong lyrically."
Carnival,¥$,"Rich the Kid; Playboi Carti",64,9,4.5,6,7,7,7,"Huge commercial hit with strong crowd energy, but reception is very mixed due to controversy, repetitive writing, and divisive artistic choices."
Like That,Future,"Metro Boomin; Kendrick Lamar",87,9,8,8.5,8.5,9,9,"Acclaimed rap hit, widely praised for Metro Boomin's production and Kendrick Lamar's explosive verse; also a major commercial moment."
Get Lucky,Daft Punk,"Pharrell Williams; Nile Rodgers",88,8.5,7,8,9,9.5,9.5,"Widely acclaimed disco-pop hit praised for groove, polish, Nile Rodgers' guitar, and broad replay value."
Touch,Daft Punk,Paul Williams,91,7.5,8.5,8,9.5,9.5,8.5,"Cult-favorite Daft Punk centerpiece known for ambitious structure, theatrical vocals, and emotional production."
Aria Math,C418,,88,6.5,0,0,9,8.5,9,"Highly beloved Minecraft instrumental with strong nostalgia, atmosphere, and emotional resonance; limited by niche/context for general audiences."
BROTHER STONE,Don Toliver,Kodak Black,76,8.5,6.5,7,7.5,8,7.5,"Received positive reactions for beat and energetic delivery, though consensus is less established than major mainstream hits."
Paint the Town Red,Doja Cat,,79,7.5,7.5,8,7.5,8,8.5,"Major pop-rap hit praised for confidence and hook, though some listeners view it as more effective than deep."
il vento d'oro,Yugo Kanno,,88,8.5,0,0,9.5,8.5,9,"Extremely recognizable anime score piece with huge meme/cultural reach and strong instrumental identity."
Take a Slice,Glass Animals,,80,8,7,7.5,8,8,8,"Fan-favorite Glass Animals deep cut known for swaggering groove and distinctive production; less universally known than their biggest hits."
21st Century Schizoid Man,King Crimson,,96,9.5,9,8.5,10,9.5,9,"Progressive rock landmark praised for intensity, musicianship, distortion, jazz-rock complexity, and lasting influence."
This Velvet Glove,Red Hot Chili Peppers,,82,7.5,7.5,8,8,8.5,8,"Generally well-liked album cut with melodic warmth and strong band chemistry, though not as iconic as RHCP's biggest singles."
Do I Wanna Know?,Arctic Monkeys,,88,8,8,8,9,9,9.5,"One of Arctic Monkeys' signature songs, widely praised for its riff, mood, and sleek production, with enormous replay value.",
Something in the Way,Nirvana,,86,4.5,8.5,8,8,8,8.5,"Respected for its bleak atmosphere and emotional restraint; gained renewed mainstream attention while retaining strong critical respect."
Let It Happen,Tame Impala,,93,8.5,8.5,8,9.5,10,9,"Highly acclaimed psychedelic pop track praised for ambitious structure, production, and hypnotic groove."
Lifestyle,¥$,Lil Wayne,48,6.5,4,5,5,4.5,5,"Generally mixed-to-negative reception around the Vultures 2 era, with criticism of execution and production choices despite recognizable names."
Crazy on You,Heart,,89,9,8,9,9.5,8.5,9,"Classic rock staple praised for Ann Wilson's vocals, acoustic intro, and powerful guitar-driven build."
Kody Blu 31,JID,,90,7.5,9,9,8.5,9,8.5,"Widely praised by hip-hop listeners as a soulful, emotional highlight from The Forever Story with strong vocal performance and writing."
PLUTOSKI,Future,,52,7,4,5,5.5,6,5.5,"Polarizing track with viral/novelty appeal but generally weaker consensus due to repetitive/gimmicky delivery."
Jesus of Suburbia,Green Day,,91,9,8.5,8.5,9,8.5,9,"Highly regarded multi-part pop-punk suite with ambitious structure, strong narrative, and fan/critic legacy."
gnx,Kendrick Lamar,"Hitta J3; YoungThreat; Peysoh",74,8,7,7,7.5,7.5,7,"Recognized as a regional posse-style moment with notable features, but more divisive than Kendrick's most acclaimed tracks because he takes a smaller role."
Moonlight,Kali Uchis,,82,7,8,8.5,8,8.5,8.5,"Smooth, well-liked modern R&B/pop track praised for dreamy atmosphere and vocal tone."
505,Arctic Monkeys,,87,7.5,8.5,8,8.5,8.5,9,"Fan-favorite Arctic Monkeys track with strong emotional build, atmosphere, and enduring replay value."
Climbing Up the Walls,Radiohead,,91,7.5,9,8.5,9.5,9.5,8.5,"Highly respected OK Computer deep cut praised for claustrophobic atmosphere, production, and emotional dread."
Immortals,Fall Out Boy,,69,8,5.5,7,6.5,7,7.5,"Commercially recognizable soundtrack single with strong energy, though often viewed as less essential than Fall Out Boy's best work."
Wherever I May Roam,Metallica,,83,8.5,7.5,8,8.5,8.5,8.5,"Respected Black Album track with a strong riff and road-warrior atmosphere, though not usually ranked at Metallica's absolute top tier."
Cry For Me,The Weeknd,,76,7.5,7.5,8,7.5,7.5,7.5,"Recent Weeknd album track with positive fan response for emotion and catchiness, though broader consensus is still developing and album reception is mixed."
INVISIBLE,Duran Duran,,78,7,7.5,8,7.5,8,8,"Late-career Duran Duran single that gained online revival; generally respected for atmosphere and strong vocal presence."
POP OUT,Playboi Carti,,78,9,5.5,7,8,8,8,"High-energy rage opener with strong fan hype and chart-era relevance, but still polarizing due to minimal lyricism and abrasive style."
Tusk,Fleetwood Mac,USC Trojan Marching Band,86,8,7.5,8,9,9,8.5,"Adventurous classic rock single praised for eccentric production and marching-band arrangement; more unusual than radio-polished Fleetwood Mac hits.",
Stairway to Heaven,Led Zeppelin,,98,9,9,9,10,9.5,9.5,"One of rock's most canonized songs, praised for gradual build, guitar work, vocals, and cultural impact."
Somewhere I Belong,Linkin Park,,82,8,8,8.5,8,8.5,8.5,"Well-regarded Linkin Park single with strong emotional accessibility, hook, and polished nu-metal/alt-rock production."
Bohemian Rhapsody,Queen,,98,9,9.5,10,10,9.5,10,"One of the most celebrated rock songs ever, praised for structure, vocals, ambition, and enduring popularity."
Afterlife,Avenged Sevenfold,,84,8.5,7.5,8,9,8.5,8.5,"Strong fan-favorite modern metal track with memorable guitar work, energetic structure, and solid replay value."
4 Raws,EsDeeKid,,70,8,6.5,7,7,6.5,7,"Emerging viral UK rap hit with gritty presence and niche buzz; critics note compelling delivery but mixed production polish."
Dance Monkey,Tones and I,,50,7,4.5,5,5.5,6.5,5.5,"Massive global hit but highly polarizing, often criticized for vocal tone and repetition despite undeniable commercial success."
My World,Guns N' Roses,,30,4.5,2.5,3.5,3,3,2.5,"Widely treated as one of the weakest Guns N' Roses tracks, often criticized as awkward and out of place."
JOKER,Dax,,58,6.5,6,6,5.5,6,5.5,"Has a dedicated fanbase and clear message, but broader reception is limited/polarizing, with criticism of overly literal writing and theatrical delivery."
